label	video	trace	time_0	time_10	time_20	time_30	time_40	time_50	time_60	time_70	time_80	time_90	time_100	time_110	time_120	time_130	time_140	time_150	time_160	time_170	time_180	time_190	time_200	time_210	time_220	time_230	time_240	time_250	time_260	time_270	time_280	time_290	time_300	time_310	time_320	time_330	time_340	time_350	time_360	time_370	time_380	time_390	time_400	time_410	time_420	time_430	time_440	time_450	time_460	time_470	time_480	time_490	time_500	time_510	time_520	time_530	time_540	time_550	time_560	time_570	time_580	time_590	time_600
PR8	001001	trace_001	105.694	105.319	105.368	105.736	105.986	106.014	105.208	105.632	105.681	105.778	105.91	105.694	105.139	106.319	105.292	105.104	106.41	105.424	105.007	105.34	105.25	104.896	105.826	105.708	105.104	105.569	105.097	105.007	104.861	105.639	104.868	105.069	105.403	104.875	104.479	105.111	105.354	104.729	104.903	104.785	104.069	104.292	104.833	105.271	104.729	104.333	104.014	104.778	105.868	104.326	105.556	105.194	104.625	104.708	104.451	104.486	104.91	104.951	105.222	104.396	104.375
PR8	001001	trace_002	105.778	104.826	105.014	104.972	105.542	105.056	105.479	105.535	105.125	105.056	104.694	104.597	105.194	104.701	104.319	104.604	104.09	104.09	103.84	104.125	104.792	104.16	104.361	104.375	104.306	104.347	104.514	104.799	104.083	104.333	104.757	104.34	104.299	104.014	104.556	104.576	104.299	105.049	103.854	104.278	103.5	104.229	103.319	104.764	104.688	104.528	104.396	103.778	104.375	104.271	104.771	104.257	104.083	104.778	104.347	104.569	103.924	103.715	104.382	104.618	104.09
PR8	001001	trace_003	104.819	104.042	103.083	104.604	104.472	104.326	104.444	103.917	104.236	104.236	104.431	103.521	104.146	105.021	104.993	104.285	103.854	104.312	103.91	104.639	104.062	104.583	104.167	104.549	104.903	105.25	105.069	104.875	103.986	105.896	106.507	105.458	104.715	104.944	104.465	104.097	104.188	105.174	105.549	105.618	104.667	104.028	104.618	104.396	104.479	104.236	104.347	104.34	104.924	104.347	104.146	104.521	104.431	103.944	103.785	104.083	104.368	103.472	103.736	103.833	105.097
PR8	001001	trace_004	103.306	103.062	103.062	102.792	102.694	103.264	103.451	103.243	103.465	103.264	103.042	102.785	102.979	103.514	103.208	102.222	102.639	102.854	102.618	102.569	103.132	103.215	102.826	103.319	102.875	102.917	102.965	102.854	103.667	102.632	102.771	102.097	102.556	102.535	102.903	102.569	102.514	103.208	103.042	102.951	103.576	103.125	102.951	102.799	103.021	103.021	102.674	102.792	102.743	102.292	102.806	103.583	103.507	102.806	102.625	103.479	102.903	103.076	102.896	103.25	103.215
PR8	001001	trace_005	116.576	115.097	116.771	117.715	117.576	116.104	115.41	117.181	118.021	117.785	116.931	115.312	113.181	112.993	112.361	112.014	112.222	114.062	114.368	113.167	117.792	120.708	115.715	114.944	115.66	112.625	120.507	119.174	118.132	120.319	117.632	114.715	116.729	114.021	115.833	114.833	120.271	119.549	113.542	116.604	120.354	121.306	122.674	119.667	119.132	119.132	117.396	119.806	118.91	124.91	127.986	131.035	126.917	122.639	125.868	126.264	124.875	122.917	118.0	121.806	121.069
PR8	001001	trace_006	105.181	105.021	105.25	105.083	105.361	104.944	104.806	104.583	104.299	104.097	105.875	104.403	104.09	104.375	104.34	104.715	105.826	105.035	104.521	104.556	105.125	104.493	104.5	105.25	104.417	104.521	105.09	105.326	106.042	104.861	104.722	104.764	104.694	104.694	104.819	104.882	105.285	105.479	104.472	105.354	105.285	104.181	104.931	104.882	104.806	105.139	105.521	104.764	104.354	105.139	104.91	104.847	105.507	104.688	104.722	104.535	104.208	104.34	104.757	104.319	105.542
PR8	001001	trace_007	107.097	107.278	106.812	107.91	109.556	110.257	111.444	111.16	111.194	110.375	109.729	109.625	108.618	107.118	107.528	107.653	108.583	109.181	109.222	110.361	110.222	109.354	108.785	108.104	107.451	107.174	107.194	107.472	106.84	107.458	107.868	106.576	107.479	106.229	107.25	106.146	106.66	107.083	106.972	107.708	105.896	106.299	107.493	107.243	107.59	106.514	106.243	106.694	106.812	107.299	107.306	106.826	107.833	108.153	108.083	107.431	108.257	106.535	106.493	107.569	106.799
PR8	001001	trace_008	104.319	103.66	103.472	104.188	104.042	103.403	104.021	104.083	103.16	103.924	103.569	103.118	103.188	103.611	104.09	103.174	103.424	103.361	103.771	103.167	103.215	103.201	102.722	103.576	103.062	103.104	103.208	102.528	103.389	103.549	103.257	103.458	103.604	103.181	103.764	104.403	103.59	103.486	103.264	103.938	103.632	103.507	104.382	103.646	104.125	103.361	103.674	104.236	103.368	103.111	104.118	102.958	103.722	103.632	103.264	103.583	104.153	103.59	103.118	103.431	103.729
PR8	001001	trace_009	105.597	106.486	105.576	105.076	105.347	107.09	105.271	105.569	106.056	105.771	106.715	107.125	107.694	108.743	108.257	107.632	107.882	107.264	107.493	107.486	106.382	106.424	107.292	106.958	107.833	107.354	107.125	106.299	106.222	106.569	107.139	107.604	106.944	108.125	107.09	107.333	108.014	106.986	107.75	107.194	106.604	106.722	106.0	105.938	106.174	106.764	106.667	105.542	106.854	106.222	107.271	108.16	107.417	106.799	107.007	107.611	106.472	106.521	106.785	105.806	105.861
PR8	001001	trace_010	107.326	106.736	107.472	108.306	108.326	107.361	107.806	108.062	107.208	107.958	108.611	106.806	109.007	106.493	107.965	108.479	107.764	107.944	107.715	108.354	107.229	106.576	107.785	107.91	109.403	108.549	109.208	109.444	108.764	108.611	108.986	108.042	107.59	107.431	107.021	107.181	106.944	107.062	107.826	109.09	107.493	107.771	107.306	106.194	107.389	106.993	107.0	107.306	107.618	107.146	106.583	107.431	106.91	106.764	106.743	107.583	107.208	106.944	107.889	108.208	107.361
